구역,지하철,은행,대형마트,전통시장,병원,응급의료기관,공원,스포츠센터,보건소,사회복지시설,행정기관,백화점
강남구,26,328,3,5,62,2,1,0,1,143,22,4
강동구,10,60,3,10,28,3,3,332,2,41,18,1
강북구,4,25,1,11,17,0,3,193,3,39,16,1
강서구,23,72,5,9,33,2,8,0,2,93,25,2
관악구,4,45,2,0,17,1,1,0,3,60,21,1
광진구,10,56,2,10,12,2,3,264,3,43,16,1
구로구,11,69,4,5,21,2,1,295,2,81,15,1
금천구,4,54,4,3,13,1,1,174,2,45,13,0
노원구,14,58,4,2,18,3,0,0,3,79,20,1
도봉구,6,25,3,5,17,1,2,211,2,38,15,0
동대문구,8,52,2,19,26,4,1,238,2,54,15,1
동작구,16,49,0,9,12,2,1,235,2,82,17,1
마포구,20,91,3,9,10,0,2,311,2,137,21,0
서대문구,7,51,0,8,11,2,1,172,3,78,16,1
서초구,14,184,4,2,28,1,1,0,3,137,20,1
성동구,17,55,3,4,10,1,4,0,3,45,18,0
성북구,9,57,3,9,14,1,2,237,2,84,21,1
송파구,23,137,6,6,36,2,2,0,2,99,28,4
양천구,7,65,4,9,16,3,1,349,2,68,19,2
영등포구,15,160,6,9,30,5,4,350,2,89,26,2
용산구,15,70,1,6,3,1,3,152,2,60,19,1
은평구,12,39,3,7,22,2,1,0,4,0,0,1
종로구,15,126,0,8,10,4,5,0,2,88,22,0
중구,21,199,2,21,10,1,1,205,2,81,19,3
중랑구,10,31,6,11,16,3,5,0,2,60,17,0
